variable,coef,model
body,0.06250478661998655,Baseline_LR
bodyshop,0.1083077197018421,Baseline_LR
books,-0.03671732625897449,Baseline_LR
boom,-0.09393456380471807,Baseline_LR
booster,0.08560186366537287,Baseline_LR
boots,-0.02240001994118977,Baseline_LR
bosch,0.026243805212237556,Baseline_LR
bosche,0.21849902904444216,Baseline_LR
bose,-0.14525514783993368,Baseline_LR
bosh,0.08205559538035437,Baseline_LR
botanical,-0.19809105565264248,Baseline_LR
botanique,-0.21478835025762086,Baseline_LR
bottle,-0.06718853421966572,Baseline_LR
boutique,-0.19183232340906767,Baseline_LR
bowers,-0.8305663563524172,Baseline_LR
box,-0.30455778853630533,Baseline_LR
bramley,-0.035193865129436036,Baseline_LR
brand,-0.05033096621740594,Baseline_LR
branded,-0.14212356005238036,Baseline_LR
brands,-0.11732599835921353,Baseline_LR
braun,0.3744672937750088,Baseline_LR
bread,0.4620167577296146,Baseline_LR
breakfast,-0.03956372654878681,Baseline_LR
britainnia,0.15544910535520595,Baseline_LR
britannia,-0.32440522541986483,Baseline_LR
brittania,0.2816780776407514,Baseline_LR
bronners,-1.6555696016355854,Baseline_LR
brown,-0.4578883799718101,Baseline_LR
building,-0.050912246273649854,Baseline_LR
built,-0.1477034315265782,Baseline_LR
bulbs,0.2837576625146535,Baseline_LR
burner,-0.17403165397628412,Baseline_LR
bush,0.14055082370525415,Baseline_LR
buy,-0.1485517133214648,Baseline_LR
bvlgari,0.03965962434172553,Baseline_LR
byron,0.16663078492472203,Baseline_LR
cable,-0.003151657422209419,Baseline_LR
cambridge,-0.3200708643758069,Baseline_LR
cameras,0.021756829624694097,Baseline_LR
candy,0.15368750126717545,Baseline_LR
carbon,0.0005821101132123998,Baseline_LR
caroline,0.10387525124532203,Baseline_LR
carport,-0.0836774612877489,Baseline_LR
cd,-0.21055335832543767,Baseline_LR
ceiling,-0.2214504483744137,Baseline_LR
central,0.30649853696760226,Baseline_LR
ceramic,-0.5797825065070666,Baseline_LR
chair,-0.697150503171213,Baseline_LR
changes,0.04139224071385148,Baseline_LR
changing,-0.22425204658462844,Baseline_LR
charger,0.0236399990716806,Baseline_LR
check,-0.0014442476056903326,Baseline_LR
checkout,0.09647896266800533,Baseline_LR
children,-0.04452844410565422,Baseline_LR
choice,0.38163850947746203,Baseline_LR
choose,0.22351239740476161,Baseline_LR
chromecast,0.025969425974910892,Baseline_LR
cien,0.1520466337480337,Baseline_LR
citrus,0.053640304582733556,Baseline_LR
clamp,-0.1427214547121044,Baseline_LR
classic,-1.502811485788872,Baseline_LR
cleaning,-0.1298550059853765,Baseline_LR
closet,-0.13701648424489915,Baseline_LR
clothing,0.062145701955563855,Baseline_LR
coconut,-0.12200028229393321,Baseline_LR
coffee,0.43246064008253177,Baseline_LR
cole,1.1309756276172813,Baseline_LR
collection,-0.4621700633350375,Baseline_LR
com,0.022686696991240738,Baseline_LR
combi,0.08133930313753801,Baseline_LR
combination,-0.21134964055163905,Baseline_LR
comforts,0.5527294409245743,Baseline_LR
compactor,0.011013569049660433,Baseline_LR
company,0.04863210857633438,Baseline_LR
compartment,0.02629323157994918,Baseline_LR
conditioner,-0.014660353699963902,Baseline_LR
conditioning,0.08592816457052352,Baseline_LR
connection,-0.0012890436133068844,Baseline_LR
console,-0.02502598207746268,Baseline_LR
convertible,-0.043008481338827176,Baseline_LR
cooker,-0.09404854940429039,Baseline_LR
cooking,-0.20598532386438378,Baseline_LR
corner,0.1803021611947229,Baseline_LR
counter,0.262236531016538,Baseline_LR
cover,-0.025176124368249075,Baseline_LR
covers,-0.01277595300482213,Baseline_LR
cowshed,0.15414236273543536,Baseline_LR
crib,-0.03182015636159355,Baseline_LR
